Latitud,Longitud,Fecha,Hora,FP_TI4,FP_TI5,FP_POWER,FP_CONFIDENCE,SCAN,TRACK
-11.73989,-46.3944,2023-08-13,03:32,302.23,291.64,3.9,55,0.65,0.73
-11.74123,-46.38797,2023-08-13,03:32,320.01,292.24,3.25,55,0.65,0.73
-11.73317,-46.39293,2023-08-13,03:32,305.71,291.42,2.25,55,0.65,0.73
-11.73185,-46.39927,2023-08-13,03:32,315.44,292.05,2.25,55,0.65,0.73
-11.73054,-46.40554,2023-08-13,03:32,305.83,291.32,2.74,55,0.65,0.73
-11.73824,-46.39334,2023-08-13,03:32,308.48,291.84,3.53,55,0.65,0.73
-11.73696,-46.39968,2023-08-13,03:32,316.93,292.05,3.46,55,0.65,0.73
-11.73953,-46.38693,2023-08-13,03:32,320.98,292.24,3.53,55,0.65,0.73
-11.72896,-46.40453,2023-08-13,03:32,304.55,291.26,3.46,55,0.65,0.73
-11.03648,-46.99336,2023-08-13,03:32,304.58,289.72,4.76,55,0.73,0.76
-11.03798,-46.98629,2023-08-13,03:32,320.43,290.56,4.73,55,0.73,0.76
-11.04017,-46.99228,2023-08-13,03:32,314.88,289.67,3.56,55,0.73,0.76
-11.03303,-46.99132,2023-08-13,03:32,308.75,290.18,3.56,55,0.73,0.76
-12.39833,-38.34513,2023-08-13,03:32,319.29,291.97,3.52,55,0.57,0.43
-10.86423,-44.80892,2023-08-13,03:32,308.82,286.94,3.78,55,0.53,0.67
-10.86323,-44.81391,2023-08-13,03:32,303.57,286.7,4.43,55,0.53,0.67
-10.85799,-44.8077,2023-08-13,03:32,334.03,287.27,3.78,55,0.53,0.67
-10.85699,-44.81271,2023-08-13,03:32,325.07,286.98,4.43,55,0.53,0.67
-10.86169,-44.80768,2023-08-13,03:32,317.89,286.98,5.84,55,0.53,0.67
-10.86072,-44.8127,2023-08-13,03:32,347.19,287.6,5.84,55,0.53,0.67
-10.62115,-45.35681,2023-08-13,03:32,302.84,288.23,1.67,55,0.58,0.7
-10.6201,-45.3621,2023-08-13,03:32,302.47,288.47,1.67,55,0.59,0.7
-9.33124,-45.05186,2023-08-13,03:32,300.69,288.83,0.73,55,0.59,0.7
-9.32479,-45.0504,2023-08-13,03:32,301.98,288.71,0.73,55,0.59,0.7
-9.31723,-45.0546,2023-08-13,03:32,303.73,289.16,0.96,55,0.59,0.7
-9.33205,-45.05165,2023-08-13,03:32,301.76,289.39,0.84,55,0.59,0.7
-9.3256,-45.05014,2023-08-13,03:32,302.99,288.85,0.84,55,0.59,0.7
-7.94747,-44.88084,2023-08-13,03:32,305.05,291.61,7.41,55,0.61,0.71
-8.8425,-45.50374,2023-08-13,03:32,367.0,291.39,17.55,90,0.64,0.72
-8.84133,-45.50975,2023-08-13,03:32,325.31,291.49,22.05,55,0.64,0.72
-8.83696,-45.49638,2023-08-13,03:32,367.0,293.16,17.55,90,0.64,0.72
-8.83579,-45.50239,2023-08-13,03:32,367.0,293.96,17.55,90,0.64,0.72
-8.49819,-46.07743,2023-08-13,03:32,324.86,289.89,3.71,55,0.71,0.75
-8.49123,-46.07597,2023-08-13,03:32,313.16,290.09,3.71,55,0.71,0.75
-9.47853,-40.29961,2023-08-13,03:32,304.39,290.21,1.24,55,0.57,0.52
-9.47759,-40.30483,2023-08-13,03:32,301.29,290.91,1.24,55,0.57,0.52
-8.98643,-42.45755,2023-08-13,03:32,301.71,290.75,0.54,55,0.4,0.6
-9.37525,-40.29911,2023-08-13,03:32,311.18,291.2,1.22,55,0.57,0.52
-8.98087,-42.45647,2023-08-13,03:32,326.51,290.19,1.48,55,0.4,0.6
-8.56206,-43.97925,2023-08-13,03:32,310.75,294.97,3.21,55,0.52,0.67
-8.56114,-43.98401,2023-08-13,03:32,318.65,294.84,3.21,55,0.52,0.67
-8.55685,-43.97311,2023-08-13,03:32,318.89,295.5,4.03,55,0.52,0.67
-8.56252,-43.98227,2023-08-13,03:32,328.03,295.43,4.63,55,0.52,0.67
-8.55814,-43.97138,2023-08-13,03:32,313.84,295.0,3.78,55,0.52,0.67
-9.04786,-38.23514,2023-08-13,03:32,304.89,290.5,1.42,55,0.42,0.45
-9.04784,-38.23629,2023-08-13,03:32,302.17,290.65,1.1,55,0.42,0.45
-7.94963,-44.86967,2023-08-13,03:32,307.8,291.15,3.75,55,0.61,0.71
-15.43506,-40.26553,2023-08-13,03:34,333.11,289.06,10.95,55,0.45,0.47
-15.43855,-40.27066,2023-08-13,03:34,324.03,288.42,10.95,55,0.45,0.47
-14.61657,-47.20663,2023-08-13,03:34,330.91,286.15,14.33,55,0.64,0.72
-14.61792,-47.20041,2023-08-13,03:34,355.6,288.82,13.58,55,0.64,0.72
-15.37996,-43.66119,2023-08-13,03:34,305.9,290.4,1.11,55,0.37,0.58
-15.37924,-43.6647,2023-08-13,03:34,305.86,290.58,2.02,55,0.37,0.58
-14.61996,-47.20051,2023-08-13,03:34,349.98,287.32,8.39,55,0.64,0.72
-14.61857,-47.20673,2023-08-13,03:34,323.57,286.5,8.39,55,0.64,0.72
-15.38391,-43.65903,2023-08-13,03:34,309.08,290.65,1.01,55,0.37,0.58
-15.38322,-43.66251,2023-08-13,03:34,303.91,290.19,1.01,55,0.37,0.58
-14.62462,-47.20192,2023-08-13,03:34,305.31,285.96,1.07,55,0.64,0.72
-21.13001,-47.8593,2023-08-13,03:34,300.0,287.27,1.43,55,0.52,0.67
-21.12385,-47.8578,2023-08-13,03:34,321.22,287.74,1.43,55,0.52,0.67
-22.28105,-41.72745,2023-08-13,03:34,314.34,288.12,1.04,55,0.42,0.45
-21.26703,-46.148,2023-08-13,03:34,297.47,281.49,0.43,55,0.41,0.61
-21.26151,-46.14643,2023-08-13,03:34,299.12,282.31,0.43,55,0.41,0.61
-21.61225,-41.94029,2023-08-13,03:34,320.35,289.81,2.71,55,0.44,0.46
-21.60881,-41.93516,2023-08-13,03:34,309.01,289.44,1.2,55,0.44,0.46
-21.20105,-43.81743,2023-08-13,03:34,300.91,272.08,1.53,55,0.59,0.53
-20.40332,-47.50671,2023-08-13,03:34,309.27,273.83,2.87,55,0.52,0.66
-21.6792,-41.26106,2023-08-13,03:34,308.64,288.53,0.7,55,0.4,0.44
-21.67511,-41.26014,2023-08-13,03:34,311.7,288.24,0.85,55,0.4,0.44
-21.56031,-41.22333,2023-08-13,03:34,318.04,286.36,1.45,55,0.4,0.44
-21.55622,-41.22241,2023-08-13,03:34,315.7,289.0,1.21,55,0.4,0.44
-21.00443,-42.84427,2023-08-13,03:34,297.25,260.32,1.82,55,0.51,0.5
-20.72097,-42.94256,2023-08-13,03:34,303.29,253.26,1.65,55,0.53,0.5
-20.24801,-40.24539,2023-08-13,03:34,315.23,259.18,2.43,55,0.56,0.43
-20.24012,-40.24372,2023-08-13,03:34,313.29,252.62,2.42,55,0.56,0.43
-17.97831,-48.94028,2023-08-13,03:34,300.06,283.9,2.41,55,0.71,0.75
-17.97141,-48.93844,2023-08-13,03:34,312.88,285.01,3.23,55,0.71,0.75
-17.83152,-48.52516,2023-08-13,03:34,303.86,286.24,1.79,55,0.67,0.74
-17.8249,-48.52274,2023-08-13,03:34,298.34,286.1,0.71,55,0.67,0.74
-16.80538,-47.63617,2023-08-13,03:34,301.36,279.43,2.14,55,0.62,0.72
-17.09447,-43.80408,2023-08-13,03:34,301.18,289.78,1.08,55,0.35,0.57
-17.54364,-40.10397,2023-08-13,03:34,300.95,288.1,0.53,55,0.4,0.44
-16.20266,-46.6483,2023-08-13,03:34,320.73,287.5,3.07,55,0.55,0.68
-16.68282,-43.88316,2023-08-13,03:34,297.03,281.7,0.64,55,0.36,0.58
-16.68218,-43.88626,2023-08-13,03:34,298.54,281.15,0.9,55,0.36,0.58
-17.53118,-39.44559,2023-08-13,03:34,306.07,289.22,1.29,55,0.56,0.43
-15.62768,-48.2579,2023-08-13,03:34,331.74,289.85,4.0,55,0.72,0.75
-15.62118,-48.25417,2023-08-13,03:34,315.28,287.63,4.0,55,0.72,0.75
-15.62329,-48.25567,2023-08-13,03:34,338.4,289.38,7.26,55,0.72,0.75
-15.63869,-47.28363,2023-08-13,03:34,321.59,284.98,5.1,55,0.62,0.72
-15.63736,-47.28963,2023-08-13,03:34,327.33,285.4,5.1,55,0.62,0.72
-15.63199,-47.28252,2023-08-13,03:34,304.21,283.57,2.7,55,0.62,0.72
-15.63067,-47.28848,2023-08-13,03:34,319.91,284.84,2.7,55,0.62,0.72
-16.27691,-42.59868,2023-08-13,03:34,318.2,285.81,3.01,55,0.61,0.53
-16.26269,-42.61852,2023-08-13,03:34,308.53,286.59,2.33,55,0.61,0.53
-16.25894,-42.61163,2023-08-13,03:34,299.51,286.34,0.59,55,0.61,0.53
-16.25781,-42.61729,2023-08-13,03:34,307.75,287.83,2.64,55,0.61,0.53
-16.26291,-42.61657,2023-08-13,03:34,307.83,286.61,2.02,55,0.61,0.54
-16.26182,-42.62226,2023-08-13,03:34,296.0,285.88,1.35,55,0.61,0.54
-16.25802,-42.61533,2023-08-13,03:34,308.01,287.78,2.02,55,0.61,0.54
-15.38603,-43.65888,2023-08-13,03:34,308.2,290.29,1.11,55,0.37,0.58
-15.80276,-43.3462,2023-08-13,03:34,312.87,289.6,0.59,55,0.35,0.56
-15.80796,-43.34734,2023-08-13,03:34,310.87,288.24,0.59,55,0.35,0.56
-16.25693,-42.62101,2023-08-13,03:34,299.93,286.86,1.35,55,0.61,0.54
-14.79013,-48.23852,2023-08-13,03:34,325.86,286.83,4.06,55,0.74,0.76
-15.43426,-40.26984,2023-08-13,03:34,341.2,293.09,10.95,55,0.45,0.47
-23.2751,-46.14333,2023-08-13,03:36,367.0,273.48,5.25,90,0.37,0.58
-23.27429,-46.14697,2023-08-13,03:36,307.26,268.0,5.25,55,0.37,0.58
-23.27592,-46.1397,2023-08-13,03:36,318.65,272.37,3.43,55,0.37,0.58
-23.44499,-45.86826,2023-08-13,03:36,304.75,277.9,0.93,55,0.35,0.57
